iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
   0  5.154e-01  3.653e-08  1.815e-01  1.000e-09  1.000e-09  1.0000  1.000e+00  9.073e-02  1.414e-01
   1  4.822e-01  7.761e-08  3.652e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  1.826e-01  3.313e-02
   2  3.664e-01  8.847e-08  4.224e-01  1.000e-09  1.000e-09  0.5000  0.000e+00  1.584e-01  1.159e-01
   3  3.541e-01  6.988e-08  1.399e-01  1.000e-09  1.000e-09  0.1250  0.000e+00  1.640e-02  1.227e-02
   4  3.465e-01  5.823e-08  1.269e-01  1.000e-09  1.000e-09  0.2500  0.000e+00  2.777e-02  7.555e-03
   5  2.944e-01  5.097e-08  1.390e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  6.951e-02  5.219e-02
   6  2.511e-01  3.248e-08  1.509e-01  1.000e-09  1.000e-09  0.5000  0.000e+00  5.658e-02  4.330e-02
   7  2.109e-01  2.382e-08  1.124e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  5.618e-02  4.016e-02
   8  2.056e-01  1.435e-08  6.926e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  2.597e-02  5.342e-03
   9  1.930e-01  1.203e-08  5.891e-02  1.000e-09  1.000e-09  0.5000  0.000e+00  2.209e-02  1.259e-02
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||   dV-exp       dV    
  10  1.918e-01  2.875e-09  1.406e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  3.075e-03  1.217e-03
  11  1.904e-01  2.783e-09  1.367e-02  1.000e-09  1.000e-09  0.2500  0.000e+00  2.990e-03  1.361e-03
  12  1.900e-01  1.582e-09  7.791e-03  1.000e-09  1.000e-09  0.1250  0.000e+00  9.130e-04  4.007e-04
  13  1.896e-01  7.032e-10  3.442e-03  1.000e-09  1.000e-09  0.2500  0.000e+00  7.530e-04  4.327e-04
